Date,Subject,Snippet,Prediction,Confidence,Source
2025-11-08 00:38:55.081722,Historical Ingestion,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450,Spam,98.9615898133175,Dataset
2025-07-06 02:51:55.081722,Historical Ingestion,I'm wif him now buying tix lar...,Ham,87.06946549864313,Dataset
2026-01-03 08:37:55.081722,Historical Ingestion,Call me when u finish then i come n pick u.,Ham,91.13024704760603,Dataset
2024-06-06 14:28:55.081722,Historical Ingestion,Dear how is chechi. Did you talk to her,Ham,91.81635296743464,Dataset
2025-07-13 15:16:55.081722,Historical Ingestion,What's up. Do you want me to come online?,Ham,91.62393964035724,Dataset
2024-10-05 22:24:55.081722,Historical Ingestion,Were somewhere on Fredericksburg,Ham,99.0621828076642,Dataset
2024-10-14 07:37:55.081722,Historical Ingestion,"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact",Spam,92.49806682043156,Dataset
2025-08-06 06:31:55.081722,Historical Ingestion,When can Ì_ come out?,Ham,86.5211769119087,Dataset
2025-04-16 19:22:55.081722,Historical Ingestion,"K, if u bored up just come to my home..",Ham,91.51019649783,Dataset
2025-12-02 17:43:55.081722,Historical Ingestion,Can Ì_ call me at 10:10 to make sure dat i've woken up...,Ham,98.0268360720883,Dataset
2024-07-28 02:40:55.081722,Historical Ingestion,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Bo,Ham,89.9542762848914,Dataset
2024-06-22 16:54:55.081722,Historical Ingestion,A bloo bloo bloo I'll miss the first bowl,Ham,91.9239614187963,Dataset
2024-01-29 05:44:55.081722,Historical Ingestion,"Yeah sure, give me a couple minutes to track down my wallet",Ham,97.51172805674828,Dataset
2024-06-10 14:38:55.081722,Historical Ingestion,"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, c",Spam,99.034381351932,Dataset
2024-03-30 21:46:55.081722,Historical Ingestion,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring l,Ham,97.05818533075144,Dataset
2024-06-05 20:33:55.081722,Historical Ingestion,Its not the same here. Still looking for a job. How much do Ta's earn there.,Ham,92.5362150314611,Dataset
2024-11-21 02:22:55.081722,Historical Ingestion,"Gud gud..k, chikku tke care.. sleep well gud nyt",Ham,96.32377701316616,Dataset
2024-08-17 04:13:55.081722,Historical Ingestion,I'll reach in ard 20 mins ok...,Ham,99.27799260548694,Dataset
2025-01-28 12:36:55.081722,Historical Ingestion,Wat Ì_ doing now?,Ham,95.74543854018567,Dataset
2024-09-29 10:59:55.081722,Historical Ingestion,Done it but internet connection v slow and can‰Û÷t send it. Will try again later or first thing tomo,Ham,94.52756411495388,Dataset
2024-04-27 17:13:55.081722,Historical Ingestion,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,Ham,98.0834669316736,Dataset
2025-08-11 01:25:55.081722,Historical Ingestion,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom n,Spam,94.65400120940951,Dataset
2025-03-24 11:58:55.081722,Historical Ingestion,Can you pls send me that company name. In saibaba colany,Ham,96.01418282371404,Dataset
2025-11-08 07:50:55.081722,Historical Ingestion,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls",Ham,85.44919031874653,Dataset
2025-04-12 07:32:55.081722,Historical Ingestion,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt,Ham,99.21962261159857,Dataset
2024-11-07 04:27:55.081722,Historical Ingestion,Yeah it's jus rite...,Ham,85.7073794213083,Dataset
2024-08-05 16:49:55.081722,Historical Ingestion,Hey mate. Spoke to the mag people. We‰Û÷re on.  the is deliver by the end of the month. Deliver on t,Ham,96.57111327107567,Dataset
2025-12-14 13:13:55.081722,Historical Ingestion,I know you mood off today,Ham,87.31928090893373,Dataset
2025-05-29 23:30:55.081722,Historical Ingestion,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?,Ham,86.25292312507536,Dataset
2025-02-09 20:07:55.081722,Historical Ingestion,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gon",Ham,85.08133933976094,Dataset
2024-07-25 05:30:55.081722,Historical Ingestion,Lol ... I knew that .... I saw him in the dollar store,Ham,89.05421643740166,Dataset
2024-11-30 14:23:55.081722,Historical Ingestion,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcor,Spam,94.9989551742826,Dataset
2024-10-28 13:54:55.081722,Historical Ingestion,Hey gals...U all wanna meet 4 dinner at nÌÂte? ,Ham,96.39515684054268,Dataset
2025-09-03 10:03:55.081722,Historical Ingestion,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Ham,86.4875562362828,Dataset
2025-05-27 20:47:55.081722,Historical Ingestion,"Y cant u try new invention to fly..i'm not joking.,",Ham,96.2763869149996,Dataset
2024-04-21 10:26:55.081722,Historical Ingestion,"that would be good ‰Û_ I'll phone you tomo lunchtime, shall I, to organise something?",Ham,95.41805490831636,Dataset
2025-08-15 03:08:55.081722,Historical Ingestion,LOL that would be awesome payback.,Ham,85.58857608874816,Dataset
2025-02-15 02:37:55.081722,Historical Ingestion,You'd like that wouldn't you? Jerk!,Ham,94.19601265901804,Dataset
2025-03-05 02:48:55.081722,Historical Ingestion,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you ",Ham,89.84489780775074,Dataset
2025-06-12 18:40:55.081722,Historical Ingestion,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play N,Spam,94.47567882312254,Dataset
2026-01-06 03:14:55.081722,Historical Ingestion,He remains a bro amongst bros,Ham,89.87500015368026,Dataset
2025-01-05 00:35:55.081722,Historical Ingestion,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + ,Spam,92.4169746005884,Dataset
2024-05-08 22:43:55.081722,Historical Ingestion,If you're not in my car in an hour and a half I'm going apeshit,Ham,95.67329448125685,Dataset
2025-11-03 09:07:55.081722,Historical Ingestion,"Cool, text me when you head out",Ham,97.53883363365952,Dataset
2024-02-29 19:03:55.081722,Historical Ingestion,That's y i said it's bad dat all e gals know u... Wat u doing now?,Ham,88.19631508937462,Dataset
2025-04-26 13:30:55.081722,Historical Ingestion,I know girls always safe and selfish know i got it pa. Thank you. good night.,Ham,92.95909437555224,Dataset
2024-05-07 12:48:55.081722,Historical Ingestion,Ok.. ÌÏ finishing soon?,Ham,96.16145020587372,Dataset
2024-12-17 17:27:55.081722,Historical Ingestion,"life alle mone,eppolum oru pole allalo",Ham,91.96698588827093,Dataset
2024-09-05 17:49:55.081722,Historical Ingestion,"If i let you do this, i want you in the house by 8am.",Ham,98.09257067544988,Dataset
2025-05-26 10:14:55.081722,Historical Ingestion,Daddy will take good care of you :),Ham,89.15680584100879,Dataset
2025-08-15 22:51:55.081722,Historical Ingestion,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP char,Spam,94.29561117299222,Dataset
2024-12-30 14:03:55.081722,Historical Ingestion,Just do what ever is easier for you,Ham,96.93439377438042,Dataset
2024-08-12 01:27:55.081722,Historical Ingestion,But i have to. I like to have love and arrange.,Ham,87.9977051910142,Dataset
2025-12-22 12:15:55.081722,Historical Ingestion,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIR,Ham,97.43735279212912,Dataset
2025-07-30 04:40:55.081722,Historical Ingestion,"Goodmorning, Today i am late for  &lt;#&gt; min.",Ham,98.1508023964086,Dataset
2025-06-21 20:47:55.081722,Historical Ingestion,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Pres,Ham,87.42004901336597,Dataset
2024-10-04 18:26:55.081722,Historical Ingestion,I wish u were here. I feel so alone,Ham,89.61898484669186,Dataset
2024-08-03 20:40:55.081722,Historical Ingestion,"Awesome question with a cute answer: Someone asked a boy \how is ur life?\"" . . He smiled &amp; answ",Ham,92.2193842450524,Dataset
2024-08-10 19:51:55.081722,Historical Ingestion,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150,Spam,98.22891716335177,Dataset
2025-03-25 00:00:55.081722,Historical Ingestion,So wat's da decision?,Ham,89.80533440189011,Dataset
2024-06-11 08:54:55.081722,Historical Ingestion,K.k:)advance happy pongal.,Ham,94.69509981177926,Dataset
2025-03-26 22:23:55.081722,Historical Ingestion,Unless it's a situation where YOU GO GURL would be more appropriate,Ham,93.63096278081576,Dataset
2024-02-16 21:33:55.081722,Historical Ingestion,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Readin",Ham,87.44865002974552,Dataset
2024-03-17 12:56:55.081722,Historical Ingestion,"THATåÕS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONåÕT WORRY.C U L8TR HUN!LOVE Y",Ham,91.20763423576004,Dataset
2025-04-15 03:19:55.081722,Historical Ingestion,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To clai,Spam,99.68853318725428,Dataset
2024-05-07 00:48:55.081722,Historical Ingestion,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &,Ham,93.73957391049322,Dataset
2024-08-05 18:05:55.081722,Historical Ingestion,Ma head dey swell oh. Thanks for making my day,Ham,92.28914794022552,Dataset
2024-09-02 14:33:55.081722,Historical Ingestion,Ok... Take ur time n enjoy ur dinner...,Ham,95.86311622838193,Dataset
2024-12-12 18:45:55.081722,Historical Ingestion,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my K,Ham,94.85629297247844,Dataset
2025-11-29 06:13:55.081722,Historical Ingestion,Ok thanx... Take care then...,Ham,90.38477095650836,Dataset
2024-04-08 01:33:55.081722,Historical Ingestion,K:)eng rocking in ashes:),Ham,89.55188011257673,Dataset
2024-02-09 13:57:55.081722,Historical Ingestion,I'm home...,Ham,86.49256821346756,Dataset
2024-06-24 13:57:55.081722,Historical Ingestion,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",Ham,94.99401350421115,Dataset
2024-09-18 16:02:55.081722,Historical Ingestion,Now thats going to ruin your thesis!,Ham,98.66856664560947,Dataset
2024-12-17 20:49:55.081722,Historical Ingestion,Lemme know when you're here,Ham,88.69552884998073,Dataset
2025-05-21 05:48:55.081722,Historical Ingestion,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 ,Ham,96.97443705550032,Dataset
2025-02-09 03:17:55.081722,Historical Ingestion,yay! finally lol. i missed our cinema trip last week :-(,Ham,96.33607787682344,Dataset
2024-08-05 18:36:55.081722,Historical Ingestion,How did you find out in a way that didn't include all of these details,Ham,93.39029683090256,Dataset
2024-09-18 19:57:55.081722,Historical Ingestion,Great. Hope you are using your connections from mode men also cos you can never know why old friends,Ham,87.34385143552718,Dataset
2025-04-04 07:18:55.081722,Historical Ingestion,For fear of fainting with the of all that housework you just did? Quick have a cuppa,Ham,88.48656915191462,Dataset
2025-11-04 03:28:55.081722,Historical Ingestion,Am I the only one who doesn't stalk profiles?,Ham,96.85814297988104,Dataset
2025-08-16 17:03:55.081722,Historical Ingestion,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,Ham,90.89673690369972,Dataset
2025-01-02 19:06:55.081722,Historical Ingestion,Okie... Thanx...,Ham,91.458272858468,Dataset
2024-08-19 10:38:55.081722,Historical Ingestion,"Sorry, I'll call later",Ham,93.51579216090808,Dataset
2025-07-12 16:14:55.081722,Historical Ingestion,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,Ham,91.24834846173994,Dataset
2024-03-10 23:22:55.081722,Historical Ingestion,"Did you say bold, then torch later. Or one torch and 2bold?",Ham,93.06030342062137,Dataset
2024-09-20 10:18:55.081722,Historical Ingestion,Not yet chikku..wat abt u?,Ham,87.66000643967317,Dataset
2024-07-22 02:16:55.081722,Historical Ingestion,What was she looking for?,Ham,85.29630864346203,Dataset
2024-05-28 13:00:55.081722,Historical Ingestion,Shopping? Eh ger i toking abt syd leh...Haha,Ham,85.60843620162612,Dataset
2024-02-15 03:46:55.081722,Historical Ingestion,I liked the new mobile,Ham,87.00571703093941,Dataset
2026-01-03 03:27:55.081722,Historical Ingestion,Now am free call me pa.,Ham,88.76542271581269,Dataset
2025-10-22 15:38:55.081722,Historical Ingestion,Wat r u doing?,Ham,97.77532170787498,Dataset
2025-08-16 13:46:55.081722,Historical Ingestion,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",Ham,99.37959762949131,Dataset
2025-07-06 23:47:55.081722,Historical Ingestion,They just talking thats it de. They wont any other.,Ham,86.4506719830944,Dataset
2024-05-26 02:00:55.081722,Historical Ingestion,Yep. I do like the pink furniture tho.,Ham,95.93536113519508,Dataset
2024-02-21 14:33:55.081722,Historical Ingestion,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and wi,Ham,85.9729325945765,Dataset
2025-06-29 12:44:55.081722,Historical Ingestion,Then Ì_ ask dad to pick Ì_ up lar... ÌÏ wan 2 stay until 6 meh...,Ham,94.84673536232188,Dataset
2024-02-24 11:42:55.081722,Historical Ingestion,"Sorry pa, i dont knw who ru pa?",Ham,88.29618375751141,Dataset
2024-06-21 17:02:55.081722,Historical Ingestion,U WILL SWITCH YOUR FONE ON DAMMIT!!,Ham,86.71327580318673,Dataset
2025-06-27 01:57:55.081722,Historical Ingestion,I'm at work. Please call,Ham,97.580690409433,Dataset
2026-01-13 06:37:55.081722,Historical Ingestion,Well i will watch shrek in 3D!!B),Ham,93.76474787520716,Dataset
2025-07-01 16:53:55.081722,Historical Ingestion,Long after I quit. I get on only like 5 minutes a day as it is.,Ham,97.60972807690288,Dataset
2024-12-05 06:35:55.081722,Historical Ingestion,Hey you told your name to gautham ah?,Ham,91.70693760970552,Dataset
2025-11-12 07:38:55.081722,Historical Ingestion,Happy New Year Princess!,Ham,85.75641936162509,Dataset
2025-03-21 23:55:55.081722,Historical Ingestion,"Coffee cake, i guess...",Ham,88.53962900009587,Dataset
2025-06-24 21:06:55.081722,Historical Ingestion,I wont touch you with out your permission.,Ham,94.95636635587071,Dataset
2025-11-02 05:53:55.081722,Historical Ingestion,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who",Ham,94.36010427604702,Dataset
2025-12-01 09:49:55.081722,Historical Ingestion,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",Ham,91.10683989162344,Dataset
2025-10-12 17:05:55.081722,Historical Ingestion,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",Ham,96.88371629832942,Dataset
2024-02-23 23:38:55.081722,Historical Ingestion,"K I'm ready,  &lt;#&gt; ?",Ham,97.48082548619747,Dataset
2025-01-08 05:02:55.081722,Historical Ingestion,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",Ham,98.5964443410502,Dataset
2024-05-28 08:53:55.081722,Historical Ingestion,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur l",Ham,98.25335116562674,Dataset
2025-12-10 09:25:55.081722,Historical Ingestion,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)U",Spam,98.20315082162816,Dataset
2024-11-01 13:13:55.081722,Historical Ingestion,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse a",Ham,92.53228245335777,Dataset
2024-06-22 14:02:55.081722,Historical Ingestion,Are you this much buzy,Ham,95.436716906194,Dataset
2025-09-12 15:03:55.081722,Historical Ingestion,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need ,Ham,92.96344469077351,Dataset
2025-11-13 00:41:55.081722,Historical Ingestion,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if w,Ham,85.89949695077618,Dataset
2025-08-19 04:24:55.081722,Historical Ingestion,And smile for me right now as you go and the world will wonder what you are smiling about and think ,Ham,88.39298228992541,Dataset
2024-08-17 00:20:55.081722,Historical Ingestion,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt ,Spam,96.2508693753602,Dataset
2024-10-20 19:30:55.081722,Historical Ingestion,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-).""",Ham,93.20094864135903,Dataset
2024-06-01 19:05:55.081722,Historical Ingestion,aathi..where are you dear..,Ham,98.73636428793328,Dataset
2024-06-26 21:29:55.081722,Historical Ingestion,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a ra",Ham,89.14583819826106,Dataset
2025-04-30 13:13:55.081722,Historical Ingestion,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening ",Ham,97.82601248270647,Dataset
2025-10-12 07:57:55.081722,Historical Ingestion,Ugh I don't wanna get out of bed. It's so warm.,Ham,97.8816268112216,Dataset
2026-01-27 11:48:55.081722,Historical Ingestion,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,Ham,93.38589797972642,Dataset
2025-04-26 19:29:55.081722,Historical Ingestion,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. ,Ham,97.41430897841046,Dataset
2025-10-18 06:59:55.081722,Historical Ingestion,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,Ham,91.51820440855327,Dataset
2025-05-31 00:44:55.081722,Historical Ingestion,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,Ham,97.34084521633972,Dataset
2025-11-14 13:06:55.081722,Historical Ingestion,Kay... Since we are out already ,Ham,88.41782073217685,Dataset
2024-07-08 04:17:55.081722,Historical Ingestion,We have pizza if u want,Ham,97.7867782833808,Dataset
2024-04-24 12:29:55.081722,Historical Ingestion,"Aight, I'll text you when I'm back",Ham,92.30972832263592,Dataset
2025-05-07 17:02:55.081722,Historical Ingestion,"Aight, you close by or still down around alex's place?",Ham,92.1079266646026,Dataset
2025-01-30 19:13:55.081722,Historical Ingestion,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera f,Spam,97.9940608538074,Dataset
2024-02-12 15:23:55.081722,Historical Ingestion,You do what all you like,Ham,86.897473068649,Dataset
2024-11-23 04:20:55.081722,Historical Ingestion,Do you like shaking your booty on the dance floor?,Ham,87.64070809377348,Dataset
2025-02-22 18:36:55.081722,Historical Ingestion,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought",Ham,85.61223384304566,Dataset
2024-02-17 10:23:55.081722,Historical Ingestion,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,Ham,93.12729496091448,Dataset
2025-03-21 09:29:55.081722,Historical Ingestion,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while havin,Ham,86.8788274190793,Dataset
2024-05-19 01:08:55.081722,Historical Ingestion,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*..,Ham,89.87880299019213,Dataset
2024-08-20 15:16:55.081722,Historical Ingestion,Oops i thk i dun haf enuff... I go check then tell Ì_..,Ham,85.64566686375792,Dataset
2024-02-27 05:58:55.081722,Historical Ingestion,Horrible bf... I now v hungry...,Ham,88.90617441771332,Dataset
2024-09-13 09:02:55.081722,Historical Ingestion,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,Ham,86.88364260160255,Dataset
2024-09-08 12:36:55.081722,Historical Ingestion,"Sorry, I'll call later",Ham,85.8251555352503,Dataset
2025-09-04 21:28:55.081722,Historical Ingestion,No i am not having not any movies in my laptop,Ham,91.35619205321784,Dataset
2025-09-03 21:56:55.081722,Historical Ingestion,Wot about on wed nite I am 3 then but only til 9!,Ham,94.23557938879728,Dataset
2025-10-20 14:26:55.081722,Historical Ingestion,Sac will score big hundred.he is set batsman:-),Ham,96.48840747289208,Dataset
2024-06-24 08:46:55.081722,Historical Ingestion,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every ",Ham,97.40095736310217,Dataset
2025-01-17 10:27:55.081722,Historical Ingestion,But i'm surprised she still can guess right lor...,Ham,97.77474417296165,Dataset
2025-04-04 18:52:55.081722,Historical Ingestion,Who's there say hi to our drugdealer,Ham,89.09108956659625,Dataset
2025-02-03 03:15:55.081722,Historical Ingestion,Oh oh... Wasted... Den muz chiong on sat n sun liao...,Ham,93.5226814614391,Dataset
2024-07-25 04:51:55.081722,Historical Ingestion,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi ",Ham,93.1207670782859,Dataset
2024-10-29 20:11:55.081722,Historical Ingestion,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,Ham,93.66050865479806,Dataset
2024-07-22 22:09:55.081722,Historical Ingestion,U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.l,Spam,93.35543125874894,Dataset
2024-11-03 13:10:55.081722,Historical Ingestion,I am not having her number sir,Ham,92.48195595845011,Dataset
2024-05-21 05:05:55.081722,Historical Ingestion,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE",Spam,92.883025556348,Dataset
2025-12-10 20:45:55.081722,Historical Ingestion,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COL,Ham,87.00314245639683,Dataset
2025-07-28 12:00:55.081722,Historical Ingestion,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> h",Spam,97.89961286784369,Dataset
2025-06-30 02:04:55.081722,Historical Ingestion,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,Ham,99.0285532989434,Dataset
2024-10-21 09:04:55.081722,Historical Ingestion,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear ,Ham,94.49050361529684,Dataset
2024-06-17 07:55:55.081722,Historical Ingestion,Okay same with me. Well thanks for the clarification,Ham,99.40684125108272,Dataset
2025-03-03 04:38:55.081722,Historical Ingestion,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,Ham,97.2383308913723,Dataset
2025-10-15 13:49:55.081722,Historical Ingestion,It is a good thing I'm now getting the connection to bw,Ham,85.98345328531275,Dataset
2024-07-01 21:00:55.081722,Historical Ingestion,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u v",Ham,95.6389282860797,Dataset
2025-01-10 08:51:55.081722,Historical Ingestion,S but not able to sleep.,Ham,90.08832714898816,Dataset
2024-06-09 02:34:55.081722,Historical Ingestion,"Wat time liao, where still got.",Ham,85.62241687296721,Dataset
2025-11-27 22:34:55.081722,Historical Ingestion,They released vday shirts and when u put it on it makes your bottom half naked instead of those whit,Ham,99.30977913734134,Dataset
2025-02-28 14:10:55.081722,Historical Ingestion,No:-)i got rumour that you going to buy apartment in chennai:-),Ham,95.049516170754,Dataset
2025-02-17 12:22:55.081722,Historical Ingestion,Normally i use to drink more water daily:),Ham,88.03079463903663,Dataset
2026-01-13 20:40:55.081722,Historical Ingestion,Yup next stop.,Ham,87.14303036874766,Dataset
2024-05-06 17:19:55.081722,Historical Ingestion,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,Ham,90.24811045039556,Dataset
2024-08-25 06:07:55.081722,Historical Ingestion,Kent vale lor... ÌÏ wait 4 me there ar?,Ham,88.61502115394318,Dataset
2024-04-11 08:49:55.081722,Historical Ingestion,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To col,Spam,98.03897006752292,Dataset
2026-01-12 23:39:55.081722,Historical Ingestion,Anything...,Ham,91.69165061134456,Dataset
2024-08-08 23:26:55.081722,Historical Ingestion,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,Ham,91.773737058521,Dataset
2025-06-25 06:57:55.081722,Historical Ingestion,"How about clothes, jewelry, and trips?",Ham,87.45064269492389,Dataset
2024-04-08 00:09:55.081722,Historical Ingestion,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,Ham,93.32292146284536,Dataset
2025-03-09 22:53:55.081722,Historical Ingestion,Just getting back home,Ham,95.54051079027758,Dataset
2024-06-22 03:51:55.081722,Historical Ingestion,Great escape. I fancy the bridge but needs her lager. See you tomo ,Ham,92.53332299497244,Dataset
2025-02-22 01:21:55.081722,Historical Ingestion,ÌÏ dun need to pick ur gf?,Ham,85.27019336425437,Dataset
2024-12-21 01:08:55.081722,Historical Ingestion,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718,Spam,97.70341891148551,Dataset
2025-09-13 05:55:55.081722,Historical Ingestion,Well. Balls. Time to make calls,Ham,88.8232026572715,Dataset
2024-11-11 21:48:55.081722,Historical Ingestion,In sch but neva mind u eat 1st lor..,Ham,85.59383222065581,Dataset
2025-10-23 04:17:55.081722,Historical Ingestion,What happen dear tell me,Ham,97.79804550177874,Dataset
2024-12-12 07:56:55.081722,Historical Ingestion,Ok,Ham,90.2568167556425,Dataset
